1,89,67,24
1,70,40,94
4,88,53,29
3,0,34,33
4,61,75,66
2,2,16,48
1,39,26,75
2,51,74,22
1,51,28,11
1,34,17,97
1,94,78,89
4,45,4,80
4,92,91,52
2,41,76,71
2,20,75,46
2,45,67,79
4,47,24,72
2,0,60,47
4,75,4,16
4,99,35,55
4,27,0,28
1,60,27,63
4,41,2,66
2,56,80,42
4,94,36,93
4,46,28,6
1,88,27,12
1,85,6,2
4,61,25,45
2,57,97,36
2,51,98,56
4,47,43,90
4,4,18,50
4,32,74,40
2,18,38,44
4,32,47,5
4,14,44,58
2,12,14,7
2,54,66,30
4,15,86,10
3,35,52,39
2,36,47,83
2,5,27,60
4,66,74,69
4,44,4,69
4,64,94,59
4,19,1,16
2,37,83,56
1,89,63,45
4,48,57,71
1,87,73,61
2,37,39,76
4,25,56,82
4,97,3,9
2,4,9,11
4,63,94,41
4,83,12,19
1,61,49,62
2,17,44,64
4,98,61,10
4,66,92,81
2,24,61,48
4,95,86,25
4,21,69,97
4,45,57,86
4,99,46,98
4,50,41,97
4,74,89,67
1,68,5,94
2,10,16,81
1,91,49,48
4,82,60,91
1,85,42,3
1,52,5,12
4,42,39,20
2,1,64,15
2,28,98,20
4,94,19,22
1,35,26,31
1,54,8,86
4,97,89,88
2,52,96,18
3,11,62,21
4,84,25,34
4,33,54,79
4,53,52,74
1,19,4,67
3,48,99,37
4,67,57,50
4,13,24,75
2,34,52,73
2,93,99,22
4,13,24,91
1,86,39,32
4,16,2,83
2,21,28,87
4,88,2,87
4,77,53,37
4,99,24,78
2,22,41,97
4,66,43,68
2,26,80,43
4,27,70,38
4,84,81,92
4,47,7,63
4,91,17,22
4,20,34,95
4,95,60,86
4,29,60,32
1,53,14,68
2,43,67,5
4,63,74,13
1,19,5,74
4,29,6,69
2,75,78,52
1,86,28,65
4,77,37,38
2,4,13,79
2,25,63,93
2,23,94,70
1,53,27,22
4,45,85,29
2,92,99,83
4,81,90,1
4,31,7,86
2,31,32,40
4,45,44,32
4,84,94,79
4,83,94,46
2,53,62,26
1,69,32,21
2,17,58,42
2,8,84,17
4,98,71,24
4,94,38,50
4,75,4,81
1,70,27,98
1,53,44,17
1,82,50,71
4,62,5,72
4,98,59,25
1,34,7,18
4,25,41,0
1,59,49,27
1,53,48,69
2,3,100,17
2,18,72,78
2,25,48,1
2,27,64,77
2,6,62,18
4,81,95,79
2,39,65,70
2,5,33,63
1,88,22,31
1,17,2,88
4,64,74,59
4,89,85,77
2,38,62,40
2,34,100,98
1,85,49,98
4,20,18,64
2,3,48,36
4,26,58,69
4,39,35,80
1,90,46,75
4,13,34,66
1,34,2,83
4,43,74,85
1,74,8,62
4,45,5,18
4,24,39,4
4,55,68,97
1,79,33,43
2,44,64,45
4,11,68,9
1,61,16,21
4,50,45,47
1,34,21,51
2,47,83,38
4,12,23,56
2,41,78,22
1,85,58,45
1,27,10,32
2,3,78,75
4,95,40,69
4,31,11,62
1,34,6,57
1,51,25,64
1,90,49,9
4,32,25,13
4,26,23,45
4,71,85,92
4,54,85,96
2,19,91,84
4,82,79,63
4,56,72,5
4,50,52,56
4,67,66,70
2,52,62,93
4,14,74,18
4,77,54,91
4,14,47,56
1,43,16,65
2,21,48,63
4,88,86,6
1,87,80,4
1,86,29,16
2,28,63,79
1,56,50,61
1,70,42,51
2,54,63,47
4,82,45,21
2,51,58,77
2,7,76,45
4,16,53,52
4,23,36,77
2,51,100,59
1,91,82,92
1,89,75,33
4,75,54,96
4,96,73,5
4,81,18,95
4,63,53,83
